"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.906251236,1,1,0.906251236,1,1,1,1
0.963720389,1,0.986745086,0.963720389,1,0.986745086,0.784833239,1.123656058
1,1,1,1,1,1,0.863972904,1
1,1,1,0.990963839,1,1,0.742047372,0.922984875
1,1,1,1,1,1,0.686535221,1
1,1,1,1,1,1,1.08343841,1.214795818
1,1,1,1,1,1,0.81012287,1
1,1,1,1,0.804705939,1,0.808949517,0.773905457
0.956245788,1,0.956245788,0.956245788,1,0.956245788,0.828510231,0.956245788
1,1,1,0.980578868,1,1,0.883710166,0.967383672
0.983119786,0.94318488,1,0.983119786,0.94318488,1,0.793142817,0.961174772
1,1,1,1,1,1,0.627488128,0.934464376
0.94309732,1,1,0.94309732,1,1,0.910169261,1
1,1,1,0.999566397,0.955671313,1,0.49206581,0.999566397
1,1,1,1,1,1,0.648564997,1.204065841
1,1,1,1,1,1,0.574589296,1
0.979917572,0.986339802,1,0.979917572,0.986339802,1,0.808870347,0.986339802
0.975392554,0.982095542,1,0.975392554,0.982095542,1,0.770731276,0.990755373
1,1,1,1,0.868671055,1,0.95187499,0.95187499
1,1,1,1,1,1,0.961447748,0.890517672
1,1,1,0.970709542,1,1,0.905958521,0.958126175
1,1,1,1,1,1,0.924698143,0.981385165
1,1,1,0.978152953,0.978152953,1,0.850506299,0.674361143
1,1,1,0.989882856,0.99200527,1,0.842702238,0.895593406
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
0.949095329,1,1,0.949095329,1,1,0.98838115,1
1,0.999168492,1,1,0.999168492,1,0.940662202,0.999168492
0.948936841,1,1,0.948936841,1,1,0.948936841,1
1,1,1,1,1,1,0.743497029,0.756165012
0.885203749,1,1,0.885203749,1,1,0.738596837,0.970063334
1,1,1,1,1,1,0.89580843,1
1,0.976646569,1,1,0.976646569,1,0.83837517,1.056012661
1,1,1,1,1,1,0.73072538,0.9191468
1,1,1,1,1,1,1,1
0.760712383,1,1,0.760712383,1,1,0.887919046,0.91267503
1,1,1,1,1,1,0.691211526,0.608801473
